,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,State
215,El Paso,2470823060000.0,196781426.0,4423402600.0,142916850.0,674628.0,197578.2,0.0,477049.8,29.3,0.0,70.7,TX
216,Erath,114879982300.0,13746418.46,293573991.4,10464513.0,42865.99984,783.39184,0.0,42082.608,1.8,0.0,98.2,TX
217,Falls,73123357000.0,5773485.7,122910940.0,4407241.0,17896.0,0.0,0.0,17896.0,0.0,0.0,100.0,TX
218,Fannin,96882591000.0,19006209.0,272675300.0,14508557.0,38755.0,0.0,0.0,38755.0,0.0,0.0,100.0,TX
219,Fayette,124498753000.0,14168037.0,239367251.0,10601494.75,35789.0005,9460.8035,2.1011548e-13,26328.197,26.4,0.0,73.6,TX
220,Fisher,18531109165.0,1465366.4872,31224307.79,1117717.6296,4550.000033,23.899333,0.0,4526.1007,0.5,0.0,99.5,TX
221,Floyd,28047734000.0,2217643.1,47211098.0,1692857.3,6874.0,0.0,0.0,6874.0,0.0,0.0,100.0,TX
222,Foard,4476968600.0,544248.46,11586430.0,415456.84,1687.0,0.0,0.0,1687.0,0.0,0.0,100.0,TX
223,Fort Bend,2056059810000.0,144530274.0,4081300040.0,113316730.0,636694.0,240991.66,262226.73,133475.61,37.9,41.2,21.0,TX
224,Franklin,52611553000.0,4153967.5,88433240.0,3170967.6,12876.0,0.0,0.0,12876.0,0.0,0.0,100.0,TX
225,Freestone,95939246000.0,7585604.0,161488880.0,5790537.5,23513.0,0.0,0.0,23513.0,0.0,0.0,100.0,TX
226,Frio,62840145000.0,4968565.8,105775110.0,3792798.3,15401.0,0.0,0.0,15401.0,0.0,0.0,100.0,TX
227,Gaines,142486170000.0,11265918.0,161628100.0,8599937.3,22972.0,0.0,0.0,22972.0,0.0,0.0,100.0,TX
228,Galveston,1303589460000.0,54107791.0,1846890650.0,42529893.0,296144.0,152122.14,144021.86,0.0,51.4,48.6,0.0,TX
229,Garza,19581187000.0,1548220.7,32959857.0,1181847.9,4799.0,0.0,0.0,4799.0,0.0,0.0,100.0,TX
230,Gillespie,86026432804.0,15325925.7441,251533862.106,11512323.4236,37299.000121000005,8285.4253,11.805821,29001.769,22.2,0.0,77.8,TX
